01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
12/2921,"（正述心緒）","幼婦者 同情 須臾 止時毛無久 将見等曽念","たわや女は同じ心にしましくもやむ時もなく見てむとぞ思ふ","たわやめは おやじこころに しましくも やむときもなく みてむとぞおもふ","なし","なし","恋情 女歌","たわやめは,[寛]をとめこは,#おやじこころに,[寛]おなしこころに,#しましくも,[寛]しはらくも,#やむときもなく[寛],#みてむとぞおもふ,[寛]みなむとそおもふ,##"
12/2922,"（正述心緒）","夕去者 於君将相跡 念許<増> 日之晩毛 悞有家礼","夕さらば君に逢はむと思へこそ日の暮るらくも嬉しくありけれ","ゆふさらば きみにあはむと おもへこそ ひのくるらくも うれしくありけれ","なし","憎 -> 増 [元][紀][温][京]","恋情 女歌","ゆふさらば,[寛]ゆふされは,#きみにあはむと[寛],#おもへこそ[寛],#ひのくるらくも[寛],#うれしくありけれ,[寛]うれしかりなれ,##"
12/2923,"（正述心緒）","直今日毛 君尓波相目跡 人言乎 繁不相而 戀度鴨","ただ今日も君には逢はめど人言を繁み逢はずて恋ひわたるかも","ただけふも きみにはあはめど ひとごとを しげみあはずて こひわたるかも","なし","なし","恋情 尫柜蹋 女歌","ただけふも,[寛]たたけふも,#きみにはあはめど,[寛]きみにはあはめと,#ひとごとを,[寛]ひとことを,#しげみあはずて,[寛]しけみあはすて,#こひわたるかも[寛],##"
12/2924,"（正述心緒）","世間尓 戀将繁跡 不念者 君之手本乎 不枕夜毛有寸","世の中に恋繁けむと思はねば君が手本をまかぬ夜もありき","よのなかに こひしげけむと おもはねば きみがたもとを まかぬよもありき","なし","なし","恋情 女歌","よのなかに[寛],#こひしげけむと,[寛]こひしけけむと,#おもはねば,[寛]おもはねは,#きみがたもとを,[寛]きみかたもとを,#まかぬよもありき[寛],##"
12/2925,"（正述心緒）","緑兒之 為社乳母者 求云 乳飲哉君之 於毛求覧","みどり子のためこそ乳母は求むと言へ乳飲めや君が乳母求むらむ","みどりこの ためこそおもは もとむといへ ちのめやきみが おももとむらむ","なし","社 [西（訂正）] 杜","恋愛 女歌 戯歌","みどりこの,[寛]みとりこし,#ためこそおもは,[寛]すもりめのとは,#もとむといへ,[寛]もとむてふ,#ちのめやきみが,[寛]ちのめやきみか,#おももとむらむ[寛],##"
12/2926,"（正述心緒）","悔毛 老尓来鴨 我背子之 求流乳母尓 行益物乎","悔しくも老いにけるかも我が背子が求むる乳母に行かましものを","くやしくも おいにけるかも わがせこが もとむるおもに ゆかましものを","なし","なし","恋愛 戯歌","くやしくも[寛],#おいにけるかも,[寛]おひにけるかも,#わがせこが,[寛]わかせこか,#もとむるおもに,[寛]とむるめのとに,#ゆかましものを[寛],##"
12/2927,"（正述心緒）","浦觸而 可例西袖Ｓ 又巻者 過西戀<以> 乱今可聞","うらぶれて離れにし袖をまたまかば過ぎにし恋い乱れ来むかも","うらぶれて かれにしそでを またまかば すぎにしこひい みだれこむかも","なし","也 -> 以 [元]","恋情","うらぶれて,[寛]うらふれて,#かれにしそでを,[寛]かれにしそてを,#またまかば,[寛]またまかは,#すぎにしこひい,[寛]すきにしこひや,#みだれこむかも,[寛]みたれこむかも,##"
12/2928,"（正述心緒）","各寺師 人死為良思 妹尓戀 日異羸沼 人丹不所知","おのがじし人死にすらし妹に恋ひ日に異に痩せぬ人に知らえず","おのがじし ひとしにすらし いもにこひ ひにけにやせぬ ひとにしらえず","なし","なし","恋情","おのがじし,[寛]おのかしし,#ひとしにすらし[寛],#いもにこひ[寛],#ひにけにやせぬ[寛],#ひとにしらえず,[寛]ひとにしらせす,##"
12/2929,"（正述心緒）","夕々 吾立待尓 若雲 君不来益者 應辛苦","宵々に我が立ち待つにけだしくも君来まさずは苦しかるべし","よひよひに わがたちまつに けだしくも きみきまさずは くるしかるべし","なし","なし","恋情 女歌","よひよひに[寛],#わがたちまつに,[寛]わかたちまつに,#けだしくも,[寛]そこはくも,#きみきまさずは,[寛]きみきまさすは,#くるしかるべし,[寛]くるしかるへし,##"
12/2930,"（正述心緒）","生代尓 戀云物乎 相不見者 戀中尓毛 吾曽苦寸","生ける世に恋といふものを相見ねば恋のうちにも我れぞ苦しき","いけるよに こひといふものを あひみねば こひのうちにも われぞくるしき","なし","なし","恋情 女歌","いけるよに[寛],#こひといふものを,[寛]こひてふものを,#あひみねば,[寛]あひみねは,#こひのうちにも[寛],#われぞくるしき,[寛]われそくるしき,##"
12/2931,"（正述心緒）","念管 座者苦毛 夜干玉之 夜尓至者 吾社湯龜","思ひつつ居れば苦しもぬばたまの夜に至らば我れこそ行かめ","おもひつつ をればくるしも ぬばたまの よるにいたらば われこそゆかめ","なし","なし","枕詞 女歌 恋情","おもひつつ[寛],#をればくるしも,[寛]をれはくるしも,#ぬばたまの,[寛]ぬはたまの,#よるにいたらば,[寛]よるにしならは,#われこそゆかめ[寛],##"
12/2932,"（正述心緒）","情庭 燎而念杼 虚蝉之 人目乎繁 妹尓不相鴨","心には燃えて思へどうつせみの人目を繁み妹に逢はぬかも","こころには もえておもへど うつせみの ひとめをしげみ いもにあはぬかも","なし","なし","人目 尫柜蹋 恋情","こころには[寛],#もえておもへど,[寛]もえておもへと,#うつせみの[寛],#ひとめをしげみ,[寛]ひとめをしけみ,#いもにあはぬかも[寛],##"
12/2933,"（正述心緒）","不相念 公者雖座 肩戀丹 吾者衣戀 君之光儀","相思はず君はまさめど片恋に我れはぞ恋ふる君が姿に","あひおもはず きみはまさめど かたこひに あれはぞこふる きみがすがたに","なし","なし","恋情 女歌","あひおもはず,[寛]あひおもはす,#きみはまさめど,[寛]きみはませとも,#かたこひに[寛],#あれはぞこふる,[寛]あれはそこふる,#きみがすがたに,[寛]きみかすかたを,##"
12/2934,"（正述心緒）","味澤相 目者非不飽 携 不問事毛 苦勞有来","あぢさはふ目は飽かざらねたづさはり言とはなくも苦しくありけり","あぢさはふ めはあかざらね たづさはり こととはなくも くるしくありけり","なし","なし","枕詞 恋情","あぢさはふ,[寛]あちさはふ,#めはあかざらね,[寛]#たづさはり,[寛]たつさはり,#こととはなくも,[寛]とはれぬことも,#くるしくありけり,[寛]くるしかりけり,##"
12/2935,"（正述心緒）","璞之 年緒永 何時左右鹿 我戀将居 壽不知而","あらたまの年の緒長くいつまでか我が恋ひ居らむ命知らずて","あらたまの としのをながく いつまでか あがこひをらむ いのちしらずて","なし","なし","枕詞 恋情","あらたまの[寛],#としのをながく,[寛]としのをなかく,#いつまでか,[寛]いつまてか,#あがこひをらむ,[寛]わかこひをらむ,#いのちしらずて,[寛]いおちしらすて,##"
12/2936,"（正述心緒）","今者吾者 指南与我兄 戀為者 一夜一日毛 安毛無","今は我は死なむよ我が背恋すれば一夜一日も安けくもなし","いまはわは しなむよわがせ こひすれば ひとよひとひも やすけくもなし","なし","なし","恋情 女歌","いまはわは,[寛]いまはわれは,#しなむよわがせ,[寛]しなむよわかせ,#こひすれば,[寛]こひすれは,#ひとよひとひも[寛],#やすけくもなし[寛],##"
12/2937,"（正述心緒）","白細布之 袖<折>反 戀者香 妹之容儀乃 夢二四三湯流","白栲の袖折り返し恋ふればか妹が姿の夢にし見ゆる","しろたへの そでをりかへし こふればか いもがすがたの いめにしみゆる","なし","打 -> 折 [元][紀][細][温]","枕詞 恋情","しろたへの[寛],#そでをりかへし,[寛]そてをりかへし,#こふればか,[寛]こふれはか,#いもがすがたの,[寛]いもかすかたの,#いめにしみゆる,[寛]ゆめにしみゆる,##"
12/2938,"（正述心緒）","人言乎 繁三毛人髪三 我兄子乎 目者雖見 相因毛無","人言を繁み言痛み我が背子を目には見れども逢ふよしもなし","ひとごとを しげみこちたみ わがせこを めにはみれども あふよしもなし","なし","なし","尫柜蹋 女歌 恋情","ひとごとを,[寛]ひとことを,#しげみこちたみ,[寛]しけみこちたみ,#わがせこを,[寛]わかせこを,#めにはみれども,[寛]めにはみれとも,#あふよしもなし[寛],##"
12/2939,"（正述心緒）","戀云者 薄事有 雖然 我者不忘 戀者死十万","恋と言へば薄きことなりしかれども我れは忘れじ恋ひは死ぬとも","こひといへば うすきことなり しかれども われはわすれじ こひはしぬとも","なし","なし","恋情","こひといへば,[寛]こひといへは,#うすきことなり,[寛]うすきことあり,#しかれども,[寛]しかれとも,#われはわすれじ,[寛]われはわすれす,#こひはしぬとも[寛],##"
12/2940,"（正述心緒）","中々二 死者安六 出日之 入別不知 吾四九流四毛","なかなかに死なば安けむ出づる日の入る別知らぬ我れし苦しも","なかなかに しなばやすけむ いづるひの いるわきしらぬ われしくるしも","なし","なし","恋情","なかなかに[寛],#しなばやすけむ,[寛]しなはやすけむ,#いづるひの,[寛]いつるひの,#いるわきしらぬ,[寛]いるわきしらす,#われしくるしも[寛],##"
12/2941,"（正述心緒）","念八流 <跡>状毛我者 今者無 妹二不相而 年之經行者","思ひ遣るたどきも我れは今はなし妹に逢はずて年の経ぬれば","おもひやる たどきもわれは いまはなし いもにあはずて としのへぬれば","なし","<> -> 跡 [元][紀][細][温]","恋情","おもひやる,[寛]おもはると,#たどきもわれは,[寛]かたちもわれは,#いまはなし[寛],#いもにあはずて,[寛]いもにあはすて,#としのへぬれば,[寛]としのへゆけは,##"
12/2942,"（正述心緒）","吾兄子尓 戀跡二四有四 小兒之 夜哭乎為乍 宿不勝苦者","我が背子に恋ふとにしあらしみどり子の夜泣きをしつつ寐ねかてなくは","わがせこに こふとにしあらし みどりこの よなきをしつつ いねかてなくは","なし","なし","恋情 女歌","わがせこに,[寛]わかせこに,#こふとにしあらし,[寛]こふとにしあらし,#みどりこの,[寛]みとりこの,#よなきをしつつ[寛],#いねかてなくは,[寛]いねかてらくは,##"
12/2943,"（正述心緒）","我命之 長欲家口 偽乎 好為人乎 執許乎","我が命の長く欲しけく偽りをよくする人を捕ふばかりを","わがいのちの ながくほしけく いつはりを よくするひとを とらふばかりを","なし","なし","恋情 怨恨 戯歌","わがいのちの,[寛]わかいのちの,#ながくほしけく,[寛]なかくほしけく,#いつはりを[寛],#よくするひとを[寛],#とらふばかりを,[寛]とらふはかりを,##"
12/2944,"（正述心緒）","人言 繁跡妹 不相 情裏 戀比日","人言を繁みと妹に逢はずして心のうちに恋ふるこのころ","ひとごとを しげみといもに あはずして こころのうちに こふるこのころ","なし","なし","尫柜蹋 恋情","ひとごとを,[寛]ひとことを,#しげみといもに,[寛]しけしといもに,#あはずして,[寛]あはすして,#こころのうちに[寛],#こふるこのころ[寛],##"
12/2945,"（正述心緒）","玉<梓>之 君之使乎 待之夜乃 名凝其今毛 不宿夜乃大寸","玉梓の君が使を待ちし夜のなごりぞ今も寐ねぬ夜の多き","たまづさの きみがつかひを まちしよの なごりぞいまも いねぬよのおほき","なし","桙 -> 梓 [西（左書）][元][紀][細][温]","枕詞 恋情 女歌","たまづさの,[寛]たまつさの,#きみがつかひを,[寛]きみかつかひを,#まちしよの[寛],#なごりぞいまも,[寛]なこりそいまも,#いねぬよのおほき[寛],##"
12/2946,"（正述心緒）","玉桙之 道尓行相而 外目耳毛 見者吉子乎 何時鹿将待","玉桙の道に行き逢ひて外目にも見ればよき子をいつとか待たむ","たまほこの みちにゆきあひて よそめにも みればよきこを いつとかまたむ","なし","なし","枕詞 恋情","たまほこの[寛],#みちにゆきあひて[寛],#よそめにも[寛],#みればよきこを,[寛]みれはよきこを,#いつとかまたむ,[寛]いつしかまたむ,##"
12/2947,"（正述心緒）","念西 餘西鹿齒 為便乎無美 吾者五十日手寸 應忌鬼尾","思ひにしあまりにしかばすべをなみ我れは言ひてき忌むべきものを","おもひにし あまりにしかば すべをなみ われはいひてき いむべきものを","或本歌曰 門出而 吾反側乎 人見<監>可毛 [一云 無乏 出行 家當見] 柿本朝臣人麻呂歌集云 尓保鳥之 奈<津>柴<比>来乎 人見鴨","濫 -> 監 [元][紀][細][温] / 流 -> 津 [元][紀][細][温] / 汁 -> 比 [西（訂正右書）][紀][細][温]","異伝 非略体 恋情 尫柜蹋 作者：柿本人麻呂歌集","おもひにし[寛],#あまりにしかば,[寛]あまりにしかは,#すべをなみ,[寛]すへをなみ,#われはいひてき[寛],#いむべきものを,[寛]いむへきものを,##"
